,euro_act_id,date,title,procedure,type_of_vote,committee_code,main_policy_name,subject,final_vote,author_name,result_code
0,1,2004-09-15 00:00:00,EU-Mauritius fishing agreement,CNS *,Amended proposal for a Council regulation,PECH,Fisheries,vote: amended proposal,0,0,+
1,2,2004-09-15 00:00:00,EU-Mauritius fishing agreement,CNS *,Legislative resolution for a Council regulation,PECH,Fisheries,vote: legislative resolution,1,0,+
2,3,2004-09-15 00:00:00,EU-Madagascar Fishing agreement,CNS *,Amended proposal for a Council regulation,PECH,Fisheries,vote: amended proposal,0,0,+
3,4,2004-09-15 00:00:00,EU-Madagascar Fishing agreement,CNS *,Legislative resolution for a Council regulation,PECH,Fisheries,vote: legislative  resolution,0,0,+
4,5,2004-09-15 00:00:00,EU-Cape Verde Fishing agreement,CNS *,Amended proposal for a Council regulation,PECH,Fisheries,vote: amended proposal,0,0,+
5,6,2004-09-15 00:00:00,EU-Cape Verde Fishing agreement,CNS *,Legislative resolution for a Council regulation,PECH,Fisheries,vote: legislative resolution,1,0,+
6,7,2004-09-16 00:00:00,International Civil Aviation Organization (ICAO),RSP,Joint motion for a resolution (as a whole),0,Transport & tourism,vote: resolution (as a whole),1,0,+
7,8,2004-09-16 00:00:00,Situation in Belarus,RSP,Joint motion for a resolution (as a whole),0,Foreign & security policy,vote: resolution (as a whole),1,0,+
8,9,2004-09-16 00:00:00,Sudan,RSP,Motion for a resolution (as a whole),DEVE,Development,vote: resolution (as a whole),1,0,+
9,10,2004-09-16 00:00:00,Situation in Iraq,RSP,Joint motion for a resolution,0,Foreign & security policy,before § 1,0,GUE/NGL,-
10,11,2004-09-16 00:00:00,Situation in Iraq,RSP,Joint motion for a resolution,0,Foreign & security policy,before § 2,0,GUE/NGL,-
11,12,2004-09-16 00:00:00,Situation in Iraq,RSP,Joint motion for a resolution,0,Foreign & security policy,before § 3,0,Verts/ALE,-
12,13,2004-09-16 00:00:00,Situation in Iraq,RSP,Joint motion for a resolution (oral amendment),0,Foreign & security policy,§ 2,0,0,+
13,14,2004-09-16 00:00:00,Situation in Iraq,RSP,Joint motion for a resolution,0,Foreign & security policy,after rec A,0,Verts/ALE,-
14,15,2004-09-16 00:00:00,Situation in Iraq,RSP,Joint motion for a resolution (as a whole),0,Foreign & security policy,vote: resolution (as a whole),1,0,+
15,16,2004-09-16 00:00:00,CITES Convention,RSP,Motion for a resolution,0,Foreign & security policy,§ 3,0,0,+
16,17,2004-09-16 00:00:00,CITES Convention,RSP,Motion for a resolution (as a whole),0,Foreign & security policy,vote: resolution (as a whole),1,0,+
17,18,2004-09-16 00:00:00,Maldives,RSP,Joint motion for a resolution (as a whole),0,Foreign & security policy,vote: resolution (as a whole),1,0,+
18,19,2004-10-14 00:00:00,Information and promotion measures for agricultural products,CNS *,Proposal for a Council regulation,AGRI,Agriculture,single vote,1,0,+
19,20,2004-10-14 00:00:00,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Motion for a resolution,AFCO,Constitutional and inter-institutional affairs,§ 2,0,0,+
20,21,2004-10-14 00:00:00,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Motion for a resolution,AFCO,Constitutional and inter-institutional affairs,§ 5,0,IND/DEM,-
21,22,2004-10-14 00:00:00,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Motion for a resolution,AFCO,Constitutional and inter-institutional affairs,§ 6,0,0,+
22,23,2004-10-14 00:00:00,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Motion for a resolution,AFCO,Constitutional and inter-institutional affairs,§ 6,0,0,+
23,24,2004-10-14 00:00:00,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Motion for a resolution,AFCO,Constitutional and inter-institutional affairs,After § 6,0,IND/DEM,-
24,25,2004-10-14 00:00:00,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Motion for a resolution (as a whole),AFCO,Constitutional and inter-institutional affairs,vote: resolution (as a whole),1,0,+
25,26,2004-10-14 00:00:00,"Future of the Area of Freedom, Security and Justice",INI,Proposal for a recommendation,LIBE,"Civil liberties, justice & home affairs","§ 2 a), indent 3",0,GUE/NGL,-
