,Vote ID,File,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Code,interinstitutional file number,Committee responsabile,De,Subject,Final vote?,Author,RCV,Vote
0,1,1.0,14.09.2009,Election of the President of the European Commission after the Lisbon Treaty,,Non,Agenda setting,0,0,,Internal regulations of the EP,0,1.0,0,RCV,-
1,2,2.0,15.09.2009,Agreement EC/Mongolia on certain aspects of air services,*,Leg,Legislative resolution,A7-0001/2009,2007/0252/CNS,Committee on Transport and Tourism,Transport & tourism,Single vote,1.0,0,RCV,+
2,3,2.0,15.09.2009,EC-China agreement: maritime transport operations; accession of Bulgaria and Romania ,*,Leg,Legislative resolution,A7-0002/2009,2008/0133/CNS,Committee on Transport and Tourism,Transport & tourism,Single vote,1.0,0,RCV,+
3,4,2.0,15.09.2009,Mobilisation of the European Globalisation Adjustment Fund,,Bud,Motions for a resolution,A7-0008/2009,2009/2066/BUD,Committee on Budgets,Budget,Single vote,1.0,0,RCV,+
4,5,2.0,15.09.2009,Mobilisation of the European Union Solidarity Fund,,Bud,Motions for a resolution,A7-0006/2009,2009/2048/BUD,Committee on Budgets,Budget,Single vote,1.0,0,RCV,+
5,6,2.0,15.09.2009,"Draft amending budget No 6/2009 on Draft amending budget No 6/2009 of the European Union for the financial year 2009, Section III – Commission",,Bud,Motions for a resolution,A7-0003/2009,2009/2047/BUD,Committee on Budgets,Budget,Single vote,1.0,0,RCV,+
6,7,2.0,15.09.2009,"Draft amending budget No 7/2009 on Draft amending budget No 7/2009 of the European Union for the financial year 2009 (Klaus storm in France)
",,Bud,Motions for a resolution,A7-0009/2009,2009/2046/BUD,Committee on Budgets,Budget,Single vote,1.0,0,RCV,+
7,8,2.0,15.09.2009,"Draft amending budget No 8/2009 
on Draft amending budget No 8/2009 of the European Union for the financial year 2009: Europol, Eurojust, OLAF",,Bud,Motions for a resolution,A7-0010/2009,2009/2050/BUD,Committee on Budgets,Budget,Single vote,1.0,0,RCV,+
8,9,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 2,0.0,GUE/NGL,RCV,+
9,10,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,paragraph 9,0.0,S&D,RCV,+
10,11,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 9,0.0,S&D,RCV,-
11,12,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 11,0.0,S&D,RCV,+
12,13,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 12,0.0,Greens/EFA,RCV,-
13,14,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 12,0.0,Greens/EFA,RCV,+
14,15,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 12,0.0,Greens/EFA,RCV,+
15,16,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 20,0.0,"Greens/EFA, S&D",RCV,-
16,17,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 20,0.0,GUE/NGL,RCV,-
17,18,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 25,0.0,S&D,RCV,+
18,19,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,After paragraph 27,0.0,S&D,RCV,+
19,20,3.0,16.09.2009,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,B7-0039/2009 ,2009/2668/RSP,0,Environment & public health,vote: resolution (text as a whole) ,1.0,0,RCV,+
20,21,4.0,17.09.2009,Report: Paolo De Castro -2009 and 2010 intervention periods for butter and skimmed milk powder,*,Leg,Legislative resolution,A7-0005/2009 ,2009/0094/CNS,Committee on Agriculture and Rural Development,Agriculture,Single vote,1.0,0,RCV,+
21,22,4.0,17.09.2009,Report: Paolo De Castro-Common agricultural policy (CAP): support schemes for farmers,*,Leg,Legislative resolution,A7-0004/2009 ,2009/0084/CNS,Committee on Agriculture and Rural Development,Agriculture,Single vote,1.0,0,RCV,+
22,23,4.0,17.09.2009,Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT),,Non,Motions for a resolution,B7-0038/2009 ,2009/2670/RSP,0,"Civil liberties, justice & home affairs",paragraph 1  ,0.0,GUE/NGL,RCV,-
23,24,4.0,17.09.2009,Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT),,Non,Motions for a resolution,B7-0038/2009 ,2009/2670/RSP,0,"Civil liberties, justice & home affairs",paragraph 13,0.0,Greens/EFA,RCV,-
24,25,4.0,17.09.2009,Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT),,Non,Motions for a resolution,B7-0038/2009 ,2009/2670/RSP,0,"Civil liberties, justice & home affairs",Recital G,0.0,GUE/NGL,RCV,-
25,26,4.0,17.09.2009,Motion for a resolution-EC/Tajikistan Partnership and Cooperation Agreement,,Non,Motions for a resolution,B7-0025/2009  ,2009/2624/RSP,0,Foreign & security policy,paragraph 34,0.0,original text,RCV,+
26,27,4.0,17.09.2009,Recommendation Alojz Peterle-Conclusion of a Partnership and Cooperation Agreement between the EC and the Republic of Tajikistan ,***,Leg,Legislative resolution,A7-0007/2009 ,2004/0176/AVC,Committee on Foreign Affairs,Foreign & security policy,vote: legislative resolution,1.0,0,RCV,+
27,28,4.0,17.09.2009,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,B7-0026/2009 ,2009/2632/RSP,0,"Civil liberties, justice & home affairs",paragraph 1,0.0,original text,RCV,+
28,29,4.0,17.09.2009,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,B7-0026/2009 ,2009/2632/RSP,0,"Civil liberties, justice & home affairs",paragraph 6,0.0,original text,RCV,+
29,30,4.0,17.09.2009,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,B7-0026/2009 ,2009/2632/RSP,0,"Civil liberties, justice & home affairs",After citation 3,0.0,"ALDE, S&D,
Greens/EFA,
GUE/NGL",RCV,+
30,31,4.0,17.09.2009,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,B7-0026/2009 ,2009/2632/RSP,0,"Civil liberties, justice & home affairs",After recital G,0.0,PPE,RCV,-
31,32,4.0,17.09.2009,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,B7-0026/2009 ,2009/2632/RSP,0,"Civil liberties, justice & home affairs",vote: resolution (text as a whole) ,1.0,0,RCV,+
