,Vote ID,Date,O'clock,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Code,interinstitutional file number,Committee responsabile,De/Policy area,Subject,"Final 
vote?",Author,RCV,Vote
0,1,2014-07-16 00:00:00,,"Appointment of 4 members of the European Commission - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)",,Non,Appointment of commissioners,0,0,0,"

Constitutional and inter-institutional affairs",,1.0,0,RCV,+
1,2,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,*,Leg,Draft legislative resolution,A8-0001/2014 ,2014/0170/NLE,Committee on Economic and Monetary Affairs,Economic & monetary affairs,Paragraph 2,0.0,GUE/NGL,RCV,-
2,3,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,*,Leg,Draft legislative resolution,A8-0001/2014 ,2014/0170/NLE,Committee on Economic and Monetary Affairs,Economic & monetary affairs,After paragraph 7,0.0,Greens/ EFA,RCV,-
3,4,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,*,Leg,Draft legislative resolution,A8-0001/2014 ,2014/0170/NLE,Committee on Economic and Monetary Affairs,Economic & monetary affairs,After paragraph 7,0.0,Greens/ EFA,RCV,-
4,5,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,*,Leg,Draft legislative resolution,A8-0001/2014 ,2014/0170/NLE,Committee on Economic and Monetary Affairs,Economic & monetary affairs,vote: legislative resolution,1.0,0,RCV,+
5,6,2014-07-17 00:00:00,,"Nigeria, recent attacks by Boko Haram",,Non,Joint Motions for a resolution,RC-B8-0016/2014 ,2014/2729/RSP,0,Foreign & security policy,After paragraph 11,0.0,0,RCV,+
6,7,2014-07-17 00:00:00,,"Nigeria, recent attacks by Boko Haram",,Non,Joint Motions for a resolution,RC-B8-0016/2014 ,2014/2729/RSP,0,Foreign & security policy,vote: resolution,1.0,0,RCV,+
7,8,2014-07-17 00:00:00,,Situation in Ukraine,,Non,Joint Motions for a resolution,RC-B8-0025/2014 ,2014/2717/RSP,0,Foreign & security policy,Paragraph 6,0.0,S&D,RCV,+
8,9,2014-07-17 00:00:00,,Situation in Ukraine,,Non,Joint Motions for a resolution,RC-B8-0025/2014 ,2014/2717/RSP,0,Foreign & security policy,Paragraph 6,0.0,S&D,RCV,+
9,10,2014-07-17 00:00:00,,Situation in Ukraine,,Non,Joint Motions for a resolution,RC-B8-0025/2014 ,2014/2717/RSP,0,Foreign & security policy,Paragraph 6,0.0,S&D,RCV,+
10,11,2014-07-17 00:00:00,,Situation in Ukraine,,Non,Joint Motions for a resolution,RC-B8-0025/2014 ,2014/2717/RSP,0,Foreign & security policy,Paragraph 8,0.0,S&D,RCV,+
11,12,2014-07-17 00:00:00,,Situation in Ukraine,,Non,Joint Motions for a resolution,RC-B8-0025/2014 ,2014/2717/RSP,0,Foreign & security policy,After paragraph 12,0.0,Greens/EFA,RCV,-
12,13,2014-07-17 00:00:00,,Situation in Ukraine,,Non,Joint Motions for a resolution,RC-B8-0025/2014 ,2014/2717/RSP,0,Foreign & security policy,After paragraph 19,0.0,S&D,RCV,+
